name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,603,30,true,true,true,4,4,10,41,0,0.000596683,5.09528e-10,0.000951977,2.78938e-07,26
dj_04_ind_mp3,285,30,false,true,true,7,7,10,36,0,0.000634764,2.01632e-09,0.00111566,8.68198e-07,51
dj_04_ind_ng0,2888,30,true,true,true,4,4,10,29,0,0.000466056,2.17876e-10,0.000737251,1.27879e-09,8
dj_04_ind_ng3,2127,30,true,true,true,4,4,10,35,0,0.000468127,1.50901e-10,0.000786957,1.59279e-09,11
dj_04_mp0_mp3,1975,30,false,true,true,7,7,41,36,0,0.000751618,4.02531e-10,0.00124061,3.73403e-09,57
dj_04_ng0_mp0,2495,30,true,true,true,4,4,29,41,0,0.000595228,8.39678e-10,0.000907833,1.95905e-09,26
dj_04_ng0_mp3,2076,30,false,true,true,7,7,29,36,0,0.000629636,2.64474e-10,0.00109564,1.65947e-09,51
dj_04_ng0_ng3,2725,30,true,true,true,4,4,29,35,0,0.000467164,1.39241e-10,0.000832026,1.85658e-09,14
dj_04_ng3_mp0,2373,30,true,true,true,4,4,35,41,0,0.000593922,2.06021e-10,0.00100684,1.88515e-09,30
dj_04_ng3_mp3,2256,30,false,true,true,7,7,35,36,0,0.000635045,2.66646e-10,0.00114054,2.64279e-09,51
dj_08_ind_mp0,1375,30,true,true,true,8,8,22,117,0,0.000662959,4.63321e-10,0.00214634,4.25356e-09,106
dj_08_ind_mp3,1005,30,false,true,true,15,15,22,84,0,0.000677033,3.08971e-10,0.00234734,1.02937e-08,937
dj_08_ind_ng0,2315,30,true,true,true,8,8,22,63,0,0.000485654,2.03085e-10,0.00120832,1.64962e-09,25
dj_08_ind_ng3,2011,30,true,true,true,8,8,22,61,0,0.000489501,2.74318e-10,0.00156996,3.42512e-09,30
dj_08_mp0_mp3,811,30,false,true,true,15,15,117,84,0,0.00084087,4.37747e-10,0.00390013,9.48615e-09,983
dj_08_ng0_mp0,919,30,true,true,true,8,8,63,117,0,0.000670481,3.57125e-10,0.00215911,9.2432e-09,106
dj_08_ng0_mp3,1430,30,false,true,true,15,15,63,84,0,0.000687126,5.06945e-10,0.00265843,3.46594e-09,937
dj_08_ng0_ng3,1323,30,true,true,true,8,8,63,61,0,0.000491695,3.24022e-10,0.00158775,6.36924e-09,30
dj_08_ng3_mp0,738,30,true,true,true,8,8,61,117,0,0.000671157,4.67292e-10,0.00280073,1.52694e-08,134
dj_08_ng3_mp3,1355,30,false,true,true,15,15,61,84,0,0.000682977,2.33407e-10,0.00281315,5.81792e-09,937
dj_16_ind_mp0,196,30,false,true,true,31,31,46,296,0,0.000847008,3.27558e-09,0.0181445,3.69062e-07,889
dj_16_ind_mp3,26,30,false,true,true,32,32,46,200,0,0.00083755,1.25282e-08,0.192589,3.75756e-06,242448
dj_16_ind_ng0,313,30,true,true,true,16,16,46,125,0,0.000536103,6.02054e-10,0.00310704,6.80318e-07,61
dj_16_ind_ng3,454,30,true,true,true,16,16,46,131,0,0.000541177,2.97153e-10,0.00515051,6.82998e-08,62
