name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,606,30,true,true,true,4,4,10,41,6,0.000587295,3.01484e-10,0.000927328,3.00419e-07,26
dj_04_ind_mp3,459,30,false,true,true,7,7,10,36,4,0.000634436,5.4139e-10,0.00108025,1.74766e-07,51
dj_04_ind_ng0,2129,30,true,true,true,4,4,10,29,6,0.000466721,3.18138e-10,0.000808187,5.04897e-09,14
dj_04_ind_ng3,2515,30,true,true,true,4,4,10,35,4,0.000468001,2.40653e-10,0.000824389,5.25737e-09,14
dj_04_mp0_mp3,2013,30,false,true,true,7,7,41,36,48,0.000747833,3.78735e-10,0.00123158,4.25949e-09,57
dj_04_ng0_mp0,2459,30,true,true,true,4,4,29,41,54,0.000592448,2.709e-10,0.000910864,3.37609e-09,26
dj_04_ng0_mp3,2224,30,false,true,true,7,7,29,36,46,0.000633482,3.95277e-10,0.0011171,8.04631e-09,51
dj_04_ng0_ng3,2625,30,true,true,true,4,4,29,35,46,0.000469088,2.66465e-10,0.000882185,4.9312e-09,14
dj_04_ng3_mp0,2353,30,true,true,true,4,4,35,41,46,0.000598625,3.1723e-10,0.00102174,7.7548e-09,26
dj_04_ng3_mp3,2187,30,false,true,true,7,7,35,36,62,0.00063546,3.38086e-10,0.00115807,3.48328e-09,51
dj_08_ind_mp0,1447,30,true,true,true,8,8,22,117,14,0.000670146,4.48246e-10,0.00221983,1.31151e-08,106
dj_08_ind_mp3,564,30,false,true,true,15,15,22,84,4,0.000676428,1.00873e-09,0.00242604,8.0659e-08,937
dj_08_ind_ng0,1587,30,true,true,true,8,8,22,63,8,0.000486578,4.63204e-10,0.00136627,2.13587e-08,30
dj_08_ind_ng3,1333,30,true,true,true,8,8,22,61,4,0.000486219,1.56971e-10,0.00160625,1.50515e-08,30
dj_08_mp0_mp3,443,30,false,true,true,15,15,117,84,110,0.000846479,1.10707e-09,0.00381355,9.45036e-08,983
dj_08_ng0_mp0,1414,30,true,true,true,8,8,63,117,120,0.000674873,3.262e-10,0.00241306,5.72697e-09,110
dj_08_ng0_mp3,995,30,false,true,true,15,15,63,84,104,0.000685682,4.22328e-10,0.00267538,8.07502e-09,937
dj_08_ng0_ng3,1232,30,true,true,true,8,8,63,61,92,0.000492249,1.31157e-10,0.00173039,5.335e-09,30
dj_08_ng3_mp0,750,30,true,true,true,8,8,61,117,92,0.000676307,3.75926e-10,0.00281321,2.07895e-08,110
dj_08_ng3_mp3,820,30,false,true,true,15,15,61,84,110,0.000687472,8.58097e-10,0.00283126,1.95089e-08,937
dj_16_ind_mp0,160,30,false,true,true,31,31,46,296,10,0.000861967,6.3583e-09,0.018878,1.14295e-06,889
dj_16_ind_mp3,25,30,false,true,true,32,32,46,200,4,0.00086667,2.12406e-08,0.194037,6.00295e-06,242448
dj_16_ind_ng0,396,30,true,true,true,16,16,46,125,8,0.00053946,6.96146e-10,0.00309958,2.79126e-07,62
dj_16_ind_ng3,820,30,true,true,true,16,16,46,131,6,0.00054313,2.26665e-10,0.00501956,1.45801e-08,62
dj_16_mp0_mp3,1,30,false,true,false,127,127,312,216,0,30,0,30,0,0
dj_16_ng0_mp0,92,30,false,true,true,31,31,125,296,232,0.000898355,1.19015e-08,0.0449085,9.55744e-07,1086
dj_16_ng0_mp3,23,30,false,true,true,32,32,125,200,220,0.000870273,1.47612e-08,0.227507,1.13393e-05,242449
dj_16_ng0_ng3,505,30,true,true,true,16,16,125,131,190,0.000569923,4.93623e-10,0.00525499,1.39476e-07,62
dj_16_ng3_mp0,115,30,false,true,true,31,31,131,296,194,0.00088656,4.5552e-09,0.0516492,1.28692e-06,1086
dj_16_ng3_mp3,21,30,false,true,true,32,32,131,200,240,0.000876348,1.81657e-08,0.227585,8.98346e-06,242449
portfolioqaoa_04_ind_mp0,346,30,false,true,true,4,4,34,189,0,0.000771787,1.63419e-09,0.00790144,3.79484e-07,170
